area,city,latitude,longitude,population_density,avg_income,avg_rent,metro_distance_km,hospitals_nearby,schools_nearby,competition_score,office_density,growth_rate,sentiment_score,pop_norm,income_norm,metro_norm,hospitals_norm,schools_norm,office_norm,growth_norm,sentiment_norm,rent_norm,competition_norm,opportunity_score
Lajpat Nagar,Delhi,28.565,77.244,88,72000,90000,0.3,9,10,8.0,6.0,4.0,7.5,0.86,0.5106382978723404,0.47959183673469385,0.6666666666666666,0.4444444444444444,0.4166666666666667,0.125,0.5,0.15300546448087432,0.08653846153846156,41.19
Rajouri Garden,Delhi,28.649,77.122,82,68000,75000,0.2,7,12,7.5,5.5,4.5,7.5,0.74,0.425531914893617,0.6530612244897959,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.1875,0.5,0.22950819672131148,0.1230769230769231,41.95
Dwarka Sector 10,Delhi,28.5921,77.059,75,65000,55000,0.4,6,14,6.0,5.0,5.5,7.0,0.6,0.3617021276595745,0.37551020408163266,0.3333333333333333,0.8888888888888888,0.25,0.3125,0.3333333333333333,0.39642324888226527,0.2692307692307692,37.24
Saket,Delhi,28.5245,77.2167,85,85000,100000,0.5,10,11,8.5,7.5,4.0,8.5,0.8,0.7872340425531915,0.30612244897959184,0.7777777777777778,0.5555555555555556,0.6666666666666666,0.125,0.8333333333333334,0.11475409836065577,0.054298642533936674,46.97
Nehru Place,Delhi,28.5491,77.251,80,78000,85000,0.3,8,8,8.0,8.5,3.5,7.5,0.7,0.6382978723404256,0.47959183673469385,0.5555555555555556,0.2222222222222222,0.8333333333333334,0.0625,0.5,0.17550626808100292,0.08653846153846156,44.16
Karol Bagh,Delhi,28.651,77.19,90,70000,80000,0.4,9,13,8.5,6.5,4.0,7.5,0.9,0.46808510638297873,0.37551020408163266,0.6666666666666666,0.7777777777777778,0.5,0.125,0.5,0.20081967213114754,0.054298642533936674,40.58
Janakpuri,Delhi,28.628,77.087,78,62000,60000,0.6,7,15,6.5,5.5,5.0,7.0,0.66,0.2978723404255319,0.2565597667638484,0.4444444444444444,1.0,0.3333333333333333,0.25,0.3333333333333333,0.3442622950819672,0.21301775147929003,34.21
Rohini Sector 3,Delhi,28.733,77.11,72,58000,45000,0.5,6,14,5.5,4.5,5.5,6.5,0.54,0.2127659574468085,0.30612244897959184,0.3333333333333333,0.8888888888888888,0.16666666666666666,0.3125,0.16666666666666666,0.53551912568306,0.33566433566433573,32.62
Pitampura,Delhi,28.701,77.13,76,65000,55000,0.4,7,13,6.0,5.0,5.0,7.0,0.62,0.3617021276595745,0.37551020408163266,0.4444444444444444,0.7777777777777778,0.25,0.25,0.3333333333333333,0.39642324888226527,0.2692307692307692,36.6
Preet Vihar,Delhi,28.643,77.296,74,60000,50000,0.8,6,12,6.5,5.5,5.5,7.0,0.58,0.2553191489361702,0.1904761904761905,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3125,0.3333333333333333,0.459016393442623,0.21301775147929003,33.46
Green Park,Delhi,28.559,77.209,80,78000,70000,0.6,8,13,7.0,6.5,5.0,8.0,0.7,0.6382978723404256,0.2565597667638484,0.5555555555555556,0.7777777777777778,0.5,0.25,0.6666666666666666,0.2622950819672131,0.16483516483516483,43.61
Hauz Khas,Delhi,28.5494,77.209,85,82000,85000,0.7,9,12,7.5,6.0,4.5,8.5,0.8,0.723404255319149,0.21938775510204084,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.1875,0.8333333333333334,0.17550626808100292,0.1230769230769231,44.44
Malviya Nagar,Delhi,28.5355,77.1925,78,72000,65000,0.9,7,14,6.5,5.5,5.5,7.8,0.66,0.5106382978723404,0.1673469387755102,0.4444444444444444,0.8888888888888888,0.3333333333333333,0.3125,0.6,0.3001261034047919,0.21301775147929003,39.22
Rajnagar Extension,Ghaziabad,28.682,77.449,65,55000,35000,3.5,3,10,4.0,4.5,9.0,6.5,0.4,0.14893617021276595,0.017006802721088433,0.0,0.4444444444444444,0.16666666666666666,0.75,0.16666666666666666,0.7540983606557377,0.6346153846153847,36.96
Vaishali,Ghaziabad,28.645,77.338,70,68000,42000,0.6,5,13,5.5,6.0,7.0,7.5,0.5,0.425531914893617,0.2565597667638484,0.2222222222222222,0.7777777777777778,0.4166666666666667,0.5,0.5,0.5901639344262296,0.33566433566433573,43.66
Indirapuram,Ghaziabad,28.643,77.37,73,70000,45000,1.2,6,14,6.0,6.5,7.5,7.5,0.56,0.46808510638297873,0.11930926216640501,0.3333333333333333,0.8888888888888888,0.5,0.5625,0.5,0.53551912568306,0.2692307692307692,43.7
Crossings Republik,Ghaziabad,28.658,77.412,60,52000,32000,3.0,4,11,4.0,4.0,10.0,6.5,0.3,0.0851063829787234,0.02633311389071757,0.1111111111111111,0.5555555555555556,0.08333333333333333,0.875,0.16666666666666666,0.846311475409836,0.6346153846153847,36.61
Vasundhara,Ghaziabad,28.648,77.356,66,62000,40000,2.2,5,13,5.5,5.5,8.0,7.0,0.42,0.2978723404255319,0.0496894409937888,0.2222222222222222,0.7777777777777778,0.3333333333333333,0.625,0.3333333333333333,0.6311475409836066,0.33566433566433573,37.22
Greater Noida West,Greater Noida,28.6139,77.429,52,48000,28000,4.0,3,9,3.5,3.5,11.0,6.5,0.14,0.0,0.009955201592832254,0.0,0.3333333333333333,0.0,1.0,0.16666666666666666,1.0,0.7912087912087912,36.83
Knowledge Park,Greater Noida,28.4744,77.484,45,55000,30000,5.0,3,8,3.0,4.0,10.5,6.0,0.0,0.14893617021276595,0.0,0.0,0.2222222222222222,0.08333333333333333,0.9375,0.0,0.9180327868852459,1.0,36.31
Raj Nagar,Greater Noida,28.663,77.415,68,58000,38000,2.8,5,12,5.0,5.0,8.5,7.0,0.46,0.2127659574468085,0.030964109781843774,0.2222222222222222,0.6666666666666666,0.25,0.6875,0.3333333333333333,0.6764452113891286,0.41538461538461546,37.62
